user_id,website_area
10098,Games
10098,Internet Explorer
10099,Support Desktop
10100,Support Desktop
10100,Knowledge Base
10101,regwiz
10101,Macintosh Office
10102,Jakarta
10103,Free Downloads
10103,IE Support
10103,Internet Explorer
10104,Job Openings
10104,isapi
10105,Windows NT Workstation
10106,Free Downloads
10106,Products 
10106,Internet Explorer
10106,FrontPage
10107,NT Workstation Support
10107,Products 
10107,Microsoft.com Search
10107,Internet Explorer
10108,MS Site Builder Workshop
10108,Internet Site Construction for Developers
10109,MS Office Support
10109,Typography Site
10109,MS Office Info
10109,Support Desktop
10109,isapi
10110,Jakarta
10110,Visual Studio
10111,Microsoft.com Search
10112,FrontPage
10113,Microsoft.com Search
10114,Free Downloads
10114,Internet Explorer
10115,Internet Explorer
10116,Internet Explorer
10117,Free Downloads
10117,Windows Family of OSs
10117,Products 
10117,Support Desktop
10117,Knowledge Base
10117,Internet Information Server
10117,Internet Explorer
10117,isapi
10118,Developer Network
10118,ActiveX Technology Development
10118,Visual Studio
10119,Web Site Builder's Gallery
10119,Internet Explorer
10120,Windows95 Support
10120,Windows Family of OSs
10120,Support Desktop
10120,End User Produced View
10120,isapi
10121,Visual InterDev
10122,Support Desktop
10122,Knowledge Base
10122,Microsoft.com Search
10122,NT Server Support
10122,Australia
10123,Free Downloads
10123,Microsoft.com Search
10124,MS Office Info
10125,Free Downloads
10125,Windows Family of OSs
10126,Brazil
10127,Access Development
10127,MS Access
10127,MS Office Info
10127,Support Desktop
10127,isapi
10127,MS Access Support
10128,Internet Explorer
10129,SP Referral (ART)
10129,Support Desktop
10129,Microsoft.com Search
10130,International IE content
10131,isapi
10132,UK
10132,Exchange Support
10132,OEM
10132,MS Proxy Server
10132,Exchange
10132,Corporate Desktop Evaluation
10132,MS Office Support
10132,MS Office Info
10132,Knowledge Base
10132,OutLook
10132,Products 
10132,isapi
10132,Office Free Stuff
10132,regwiz
10132,Office Reference
10132,Support Desktop
10133,Products 
10133,isapi
10133,Windows95 Support
10133,Windows 95
10133,Games Support
10133,Windows Family of OSs
10133,Support Desktop
10133,Games
10134,Visual Basic
10134,Web Site Builder's Gallery
10134,Developer Network
10134,Internet Site Construction for Developers
10134,Developer Workshop
10134,Microsoft.com Search
10135,Microsoft.com Search
10136,SiteBuilder Network Membership
10136,Developer Workshop
10137,Free Downloads
10137,NetMeeting
10137,Internet Explorer
10138,Visual Basic
10138,Products 
10139,Sweden
10140,Free Downloads
10140,Products 
10140,Internet Explorer
10141,regwiz
10141,Web Site Builder's Gallery
10141,Typography Site
10141,IE Support
10141,MS Office Info
10141,Internet Service Providers
10141,Internet Site Construction for Developers
10141,Support Network Program Information
10141,Internet Explorer
10141,End User Produced View
10141,isapi
10142,Windows Hardware Development
10143,Internet Service Providers
10144,Free Downloads
10144,SiteBuilder Network Membership
10144,MS Word
10144,Internet Site Construction for Developers
10144,Internet Explorer
10145,Windows95 Support
10145,Knowledge Base
10145,isapi
10145,Microsoft.com Search
10146,Free Downloads
10147,Free Downloads
10147,Web Site Builder's Gallery
10147,Internet Site Construction for Developers
10147,Intranet Strategy
10147,Developer Workshop
10147,Internet Explorer
10148,Windows NT Server
10148,NT Server Support
10148,isapi
10149,Web Site Builder's Gallery
10149,International IE content
10150,Products 
10150,Visual FoxPro
10151,Products 
10151,Internet Information Server
10152,Windows95 Support
10152,Developer Network
10152,Knowledge Base
10152,Support Desktop
10152,NT Server Support
10152,isapi
10153,Internet Explorer
10153,Microsoft.com Search
10154,Corporate Desktop Evaluation
10154,regwiz
10154,MS Office Info
10154,Office Free Stuff
10155,Free Downloads
10156,Products 
10156,isapi
10156,Visual C
10156,MS PowerPoint
10156,MS PowerPoint News
10156,Visual Basic
10156,VBA Development
10156,Microsoft Home
10156,MS Office Development
10156,Product Catalog
10156,Internet Site Construction for Developers
10156,VBScript Development
10156,Developer Workshop
10156,Games
10156,Microsoft Press
10156,Visual Studio
10156,Latin America Region
10157,Free Downloads
10157,For Developers Only
10158,IE Support
10159,Executive Computing
10159,Exchange
10160,Free Downloads
10160,Internet Explorer
10161,Free Downloads
10161,International IE content
10162,Products 
10162,Free Downloads
10162,regwiz
10162,Corporate Desktop Evaluation
10162,MS Office Info
10162,MS Word News
10162,MS Office
10162,Knowledge Base
10163,Windows Family of OSs
10164,NetMeeting
10165,MS in Education
10165,MS Office Info
10166,regwiz
10166,Free Downloads
10166,Internet Development
10166,Windows Family of OSs
10166,Internet Information Server
10166,Developer Workshop
10166,Microsoft OLE DB
10166,Visual InterDev
10167,Products 
10167,N. American Automap
10168,Microsoft Home Essentials
10168,MS Works
10169,Support Desktop
10170,Free Downloads
10170,Windows Family of OSs
10171,Windows NT Server
10171,Products 
10172,promo
10172,Microsoft.com Search
10173,Web Site Builder's Gallery
10173,Internet Site Construction for Developers
10174,Internet Explorer
10175,Free Downloads
10176,Developer Network
10176,Support Desktop
10176,Knowledge Base
10176,isapi
10176,Microsoft.com Search
10177,Free Downloads
10177,MS Excel
10177,MS Office Development
10177,MS Office Info
10178,Australia
10178,isapi
10179,SiteBuilder Network Membership
10179,Windows Family of OSs
10179,Internet Site Construction for Developers
10179,Developer Workshop
10179,Internet Explorer
10180,MS Access
10180,MS Access News
10180,MS Access Support
10181,Windows NT Server
10181,Products 
10181,Microsoft.com Search
10182,Australia
10183,Free Downloads
10183,Windows95 Support
10183,Knowledge Base
10183,isapi
10184,Free Downloads
10184,International IE content
10184,isapi
10185,Windows95 Support
10185,Windows NT Server
10185,Windows 95
10185,MSHome Kids Stuff
10185,Windows Family of OSs
10185,Products 
10185,Microsoft.com Search
10186,MS Office Support
10186,Products 
10186,MS Office
10186,MS Office Info
10186,Support Desktop
10186,Knowledge Base
10187,Products 
10187,Microsoft Press
10188,SiteBuilder Network Membership
10188,Jakarta
10189,Microsoft.com Search
10190,Windows95 Support
10190,Free Downloads
10190,NT Workstation Support
10190,Products 
10190,Knowledge Base
10190,isapi
10190,Internet Explorer
10191,Hong Kong
10191,Microsoft.com Search
10192,Web Site Builder's Gallery
10192,Internet Site Construction for Developers
10193,Free Downloads
10193,Windows CE
10194,Free Downloads
10194,Products 
10194,Internet Explorer
10195,Knowledge Base
10195,Internet Explorer
10195,Microsoft.com Search
10195,N. American Automap
10196,Products 
10196,Microsoft.com Search
10196,Corporate Desktop Evaluation
10196,Free Downloads
10196,Windows 95
10196,Windows Family of OSs
10196,MS Word News
10196,Games
10197,Free Downloads
10197,MS Office Development
10197,MS Office Info
10197,Products 
10197,promo
10197,Office Free Stuff
10197,Microsoft.com Search
10197,Visual C
10197,France
10198,Free Downloads
10198,Czech Republic
10198,Slovakia
10198,Windows Family of OSs
10198,Knowledge Base
10198,isapi
10199,Windows95 Support
10199,Free Downloads
10199,Windows Family of OSs
10199,isapi
10199,Internet Explorer
10200,Web Site Builder's Gallery
10200,International IE content
10200,Internet Site Construction for Developers
10200,Developer Workshop
10201,regwiz
10201,Internet Site Construction for Developers
10202,Products 
10203,Internet Explorer
10204,Hong Kong
10204,Training
10204,MS in Education
10204,Microsoft.com Search
10205,MS TeamManager
10205,Training
10205,Exchange
10205,TechNet (World Wide Web Edition)
10205,MS in Education
10205,Products 
10205,OutLook
10205,Microsoft.com Search
10206,Free Downloads
10206,Czech Republic
10206,Windows Family of OSs
10206,Microsoft.com Search
10207,Free Downloads
10207,Internet Explorer
10207,Developer Media Development
10208,Windows NT Workstation
10208,Mastering Series
10208,Training
10208,Windows Family of OSs
10208,MS Office
10208,Games
10208,Internet Explorer
10208,Visual Source Safe
10208,Products 
10208,Visual FoxPro
10208,isapi
10208,Microsoft.com Search
10208,Visual C
10208,Free Downloads
10208,Visual Basic
10208,Canada
10208,Jakarta
10208,End User Produced View
10209,Internet Explorer
10210,Free Downloads
10210,Windows Family of OSs
10210,Internet Service Providers
10211,Free Downloads
10211,Internet Explorer
10212,Free Downloads
10212,Internet Explorer
10213,Visual FoxPro
10213,Microsoft.com Search
10214,isapi
10215,Internet Security Framework
10215,Internet Site Construction for Developers
10215,Developer Workshop
10215,Internet Explorer
10216,Products 
10216,NT Workstation Support
10216,Service Advantage
10216,isapi
10216,Windows NT Workstation
10216,Free Downloads
10216,Hungary
10216,Support Desktop
10216,Knowledge Base
10217,Windows NT Server
10217,Windows Family of OSs
10217,Products 
10217,Windows NT Workstation
10218,Products 
10218,Microsoft.com Search
10218,Office Free Stuff
10218,regwiz
10218,Free Downloads
10218,MS Word News
10218,MS Office Info
10218,MS Office
10218,Support Desktop
10219,Free Downloads
10219,Internet Development
10219,Windows Family of OSs
10219,Internet Site Construction for Developers
10219,isapi
10219,Internet Explorer
10220,regwiz
10221,Games
10222,Free Downloads
10222,MS Office Info
10223,Microsoft.com Search
10224,NetMeeting
10224,IE Support
10224,Support Network Program Information
10224,Developer Workshop
10224,Knowledge Base
10224,isapi
10225,Switzerland
10226,Developer Network
10226,TechNet (World Wide Web Edition)
10226,Products 
10227,Free Downloads
10227,Music Producer
10228,Products 
10228,Microsoft.com Search
10228,Sidewinder
10228,Internet Explorer
10229,Windows Family of OSs
10229,Brazil
10230,N. American Automap
10231,Free Downloads
10231,Games
10232,Support Desktop
10232,Knowledge Base
10232,Microsoft.com Search
10232,isapi
10233,Taiwan
10234,Internet Explorer
10234,isapi
10235,SQL Server
10235,Internet Security Framework
10235,Developer Network
10235,Knowledge Base
10235,Internet Explorer
10236,Microsoft.com Search
10237,Support Desktop
10237,Knowledge Base
10237,Visual Basic Support
10237,isapi
10238,Windows NT Server
10238,Products 
10239,Products 
10239,Microsoft.com Search
10240,Corporation Information
10240,OutLook
10240,Office Free Stuff
10241,Switching from Competitive Products
10241,Products 
10241,Free Downloads
10241,Canada
10241,MS Office
10241,Microsoft Magazine
10241,MS Word
10241,Games
10241,End User Produced View
10242,Microsoft.com Search
10242,End User Produced View
10243,Microsoft User Group Program
10243,Windows Family of OSs
10243,Microsoft.com Search
10244,Free Downloads
10244,SP Referral (ART)
10244,NT Workstation Support
10244,Knowledge Base
10244,Support Desktop
10244,NT Server Support
10244,isapi
10244,Internet Explorer
10245,Knowledge Base
10245,Microsoft.com Search
10246,MS Office Info
10247,Free Downloads
10247,Support Desktop
10247,Microsoft.com Search
10248,Web Site Builder's Gallery
10248,Microsoft.com Search
10249,Internet Explorer
10250,Free Downloads
10250,Internet Explorer
10250,isapi
10251,Free Downloads
10251,Internet Explorer
10252,Free Downloads
10252,Internet Development
10252,SiteBuilder Network Membership
10252,Internet Site Construction for Developers
10252,Products 
10252,Knowledge Base
10252,Developer Workshop
10252,VBScript Development
10252,Internet Information Server
10252,NT Server Support
10252,Internet Explorer
10252,Microsoft.com Search
10253,Internet Explorer
10254,Germany
10254,SP Referral (ART)
10254,Switzerland
10255,Windows95 Support
10255,Support Desktop
10255,Knowledge Base
10255,isapi
10256,Web Site Builder's Gallery
10257,Internet Site Construction for Developers
10257,Developer Workshop
10257,Internet Explorer
10257,Microsoft.com Search
10258,Support Desktop
10258,Microsoft.com Search
10259,Free Downloads
10259,Windows Family of OSs
10260,isapi
10260,Microsoft.com Search
10261,Free Downloads
10261,Internet Development
10261,ActiveX Technology Development
10261,Developer Workshop
10261,Microsoft.com Search
10262,Free Downloads
10263,Industry Marketing Information (Vertical)
10264,Internet Site Construction for Developers
10264,Visual Studio
10265,Visual Basic
10266,Free Downloads
10266,sports
10266,Games
10267,Germany
10268,Free Downloads
10268,Internet Explorer
10269,Web Site Builder's Gallery
10269,ActiveX Technology Development
10269,Products 
10269,FrontPage
10269,ImageComposer
10269,SiteBuilder Network Membership
10269,Internet Site Construction for Developers
10269,Developer Workshop
10270,Free Downloads
10270,Internet Explorer
10271,UK
10271,Training
10272,Products 
10272,Microsoft.com Search
10272,Free Downloads
10272,Windows 95
10272,Media Manager
10272,MSHome Kids Stuff
10272,Windows Family of OSs
10272,promo
10272,Games
10272,Internet Explorer
10273,Free Downloads
10273,Windows Family of OSs
10273,Internet Explorer
10274,Support Desktop
10275,Jakarta
10276,Free Downloads
10276,Internet Explorer
10276,isapi
10277,Clip Gallery Live
10277,MS Publisher
10277,isapi
10278,Games
10278,Microsoft.com Search
10279,Free Downloads
10280,Microsoft.com Search
10281,Windows95 Support
10281,Windows 95
10281,Windows Family of OSs
10281,Support Desktop
10281,Knowledge Base
10281,Microsoft.com Search
10281,isapi
10282,Free Downloads
10282,isapi
10283,Internet Explorer
10283,isapi
10284,Free Downloads
10284,Windows95 Support
10284,Brazil
10284,Knowledge Base
10284,Support Desktop
10284,isapi
10285,Web Site Builder's Gallery
10285,Internet Site Construction for Developers
10286,SQL Server
10286,Web Site Builder's Gallery
10286,NetShow
10286,ActiveX Technology Development
10286,Service Advantage
10286,MS Solutions Framework
10286,Microsoft.com Search
10287,Web Site Builder's Gallery
10288,Free Downloads
10288,International IE content
10288,Internet Explorer
10289,Microsoft.com Search
10290,Java Strategy and Info
10290,Exchange
10290,ActiveX Data Objects
10290,Internet Information Server
10290,Visual InterDev
10290,Free Downloads
10290,SiteBuilder Network Membership
10290,Internet Site Construction for Developers
10290,Internet Explorer
10290,Visual Studio
10290,Jakarta
10291,SP Referral (ART)
10291,Support Desktop
10291,Brazil
10291,Microsoft.com Search
10292,Free Downloads
10292,Web Site Builder's Gallery
10292,ActiveX Technology Development
10292,Developer Workshop
10293,Free Downloads
10293,Games
10293,Internet Explorer
10294,Clip Gallery Live
10294,Sweden
10294,MS Publisher
10295,Free Downloads
10295,Internet Explorer
10296,Web Site Builder's Gallery
10296,Internet Site Construction for Developers
10297,MS Site Builder Workshop
10297,OLE Development
10298,Free Downloads
10298,NetMeeting
10299,Internet Explorer
10300,Knowledge Base
10300,Microsoft.com Search
10301,Free Downloads
10301,Windows Family of OSs
10301,MS Office Info
10301,MS Word News
10301,Developer Workshop
10301,isapi
10302,Free Downloads
10302,Windows Family of OSs
10302,Support Desktop
10303,Free Downloads
10303,Products 
10303,Games
10303,Internet Information Server
10303,Microsoft.com Search
10303,isapi
10303,Internet Explorer
10303,Connecting Small Business
10304,Free Downloads
10304,SQL Server
10304,Internet Development
10304,ActiveX Technology Development
10304,Developer Workshop
10305,Web Site Builder's Gallery
10305,Internet Site Construction for Developers
10306,IT Technical Information
10306,Products 
10306,isapi
10306,Windows95 Support
10306,Windows 95
10306,Windows Family of OSs
10306,Support Desktop
10306,Knowledge Base
10307,Free Downloads
10307,IT Technical Information
10308,Windows95 Support
10308,Support Network Program Information
10308,Support Desktop
10308,Knowledge Base
10308,isapi
10309,Corporation Information
10309,Access Development
10309,Products 
10309,Office Free Stuff
10309,Office Reference
10309,MS Office Development
10309,MS Office Info
10309,MS Office
10309,Internet Explorer
10310,Windows Family of OSs
10311,sports
10311,Games
10312,MS Office Info
10313,Clip Gallery Live
10314,Windows NT Server
10314,Products 
10314,Support Desktop
10315,Microsoft.com Search
10316,Training
10316,MS Money Information
10316,Products 
10316,MS Money Support
10317,Free Downloads
10317,Windows Family of OSs
10317,Microsoft.com Search
10318,Free Downloads
10318,Windows Family of OSs
10319,FrontPage Support
10319,ImageComposer
10319,Internet Site Construction for Developers
10319,Developer Workshop
10319,Support Desktop
10319,FrontPage
10319,Internet Explorer
10320,Knowledge Base
10321,Products 
10321,MS Office
10321,MS Office Info
10321,misc
10321,Internet Explorer
10321,isapi
10322,Knowledge Base
10322,Microsoft.com Search
10322,Internet Explorer
10322,N. American Automap
10323,IE Support
10324,regwiz
10324,Office Free Stuff
10325,Training
10325,Knowledge Base
10325,promo
10325,Microsoft Press
10325,Microsoft.com Search
10326,Germany
10327,SP Referral (ART)
10327,Microsoft.com Search
10327,isapi
10327,Free Downloads
10327,Windows95 Support
10327,MSHome Kids Stuff
10327,Windows Family of OSs
10327,Knowledge Base
10327,Support Desktop
10328,Exchange Support
10328,Exchange
10329,Free Downloads
10329,Windows Family of OSs
10329,Internet Information Server
10330,Microsoft.com Search
10331,Internet Explorer
10332,Internet Site Construction for Developers
10333,Support Desktop
10333,Knowledge Base
10333,Visual Basic Support
10334,Web Site Builder's Gallery
10335,Developer Network
10335,Germany
10335,Internet Development
10335,SiteBuilder Network Membership
10335,Windows Family of OSs
10335,Internet Site Construction for Developers
10335,Developer Workshop
10335,BackOffice
10335,Visual Studio
10335,Windows Hardware Development
10336,Free Downloads
10336,Exchange
10336,Microsoft.com Search
10337,Free Downloads
10337,Internet Explorer
10338,Job Openings
10338,isapi
10339,MS Word Support
10339,Windows 95
10339,Windows Family of OSs
10339,Products 
10339,Microsoft.com Search
10340,Web Site Builder's Gallery
10340,Training
10340,Internet Site Construction for Developers
10340,Microsoft.com Search
10341,Free Downloads
10341,Excel
10341,MS Office
10341,Products 
10341,Internet Explorer
10341,Microsoft.com Search
10342,Windows Family of OSs
10342,MS Office Info
10342,NT Workstation Support
10342,Office Free Stuff
10342,Windows NT Workstation
10343,Web Site Builder's Gallery
10343,Free Downloads
10343,International IE content
10343,Internet Explorer
10344,isapi
10344,Internet Explorer
10345,Training
10345,isapi
10346,Free Downloads
10346,Java Strategy and Info
10346,Typography Site
10347,Free Downloads
10347,Support Desktop
10347,isapi
10348,Java Strategy and Info
10348,Exchange
10348,Windows NT Workstation
10348,Corporate Desktop Evaluation
10348,WorldWide Offices - US Districts
10348,Windows Family of OSs
10348,MS Office Info
10348,Visual Studio
10348,Internet Explorer
10348,Web Site Builder's Gallery
10348,IT Technical Information
10348,About Microsoft 
10348,Products 
10348,NT Workstation Support
10348,Visual FoxPro
10348,Microsoft.com Search
10348,Office Free Stuff
10348,Visual C
10348,regwiz
10348,Internet Security Framework
10348,Free Downloads
10348,Windows NT Server
10348,Windows 95
10348,SiteBuilder Network Membership
10348,Office Reference
10348,Internet Site Construction for Developers
10348,Developer Workshop
10348,Jakarta
10349,Connecting Small Business
10350,Web Site Builder's Gallery
10350,Internet Site Construction for Developers
10351,Developer Magazine
10351,Windows Family of OSs
10351,Internet Information Server
10351,Microsoft.com Search
10352,Free Downloads
10352,Windows Family of OSs
10353,Free Downloads
10353,Windows Family of OSs
10353,OutLook
10353,Office Free Stuff
10354,Job Openings
10355,Internet Explorer
10356,Internet Explorer
10357,Free Downloads
10357,Internet Explorer
10358,Windows Family of OSs
10359,Windows Family of OSs
10360,Microsoft.com Search
10361,Web Site Builder's Gallery
10361,Taiwan
10362,Free Downloads
10362,NetMeeting
10362,MS in K-12 Education
10362,MS Works
10362,Internet Explorer
10362,N. American Automap
10363,Netherlands (Holland)
10363,Windows NT Server
10363,MSHome Kids Stuff
10363,Microsoft.com Search
10364,Web Site Builder's Gallery
10365,Developer Network
10365,Germany
10365,OutLook
10365,Support Desktop
10365,NT Server Support
10365,Microsoft.com Search
10366,Microsoft.com Search
10367,Web Site Builder's Gallery
10367,Internet Site Construction for Developers
10368,Windows Family of OSs
10369,MS Office
10370,Windows95 Support
10370,Windows Family of OSs
10370,Support Desktop
10370,Knowledge Base
10370,isapi
10371,Taiwan
10372,Europe
10372,South Africa
10372,Microsoft.com Search
10372,isapi
10373,Canada
10373,Free Downloads
10373,Products 
10374,Products 
10374,Microsoft.com Search
10375,MS Site Builder Workshop
10375,Microsoft.com Search
10375,Visual InterDev
10375,Free Downloads
10375,WorldWide Offices - US Districts
10375,Internet Development
10375,Windows Family of OSs
10375,Internet Site Construction for Developers
10375,Developer Workshop
10375,Internet Explorer
10376,regwiz
10376,Office Free Stuff
10377,SP Referral (ART)
10377,Products 
10378,Products 
10379,Internet Development
10379,ActiveX Technology Development
10379,Developer Workshop
10380,MS TeamManager
10380,Products 
10381,ImageComposer
10381,Internet Site Construction for Developers
10381,Site Builder Workshop
10381,Intranet Strategy
10381,Support Desktop
10381,Developer Workshop
10381,Microsoft.com Search
10381,FrontPage
10382,Free Downloads
10382,Internet Explorer
10383,Games
10384,regwiz
10384,Macintosh Office
10385,Free Downloads
10385,Internet Explorer
10386,Web Site Builder's Gallery
10386,Internet Site Construction for Developers
10387,IE Support
10387,Games
10387,Support Desktop
10387,Internet Explorer
10387,isapi
10387,Developer Media Development
10388,Web Site Builder's Gallery
10388,Windows Family of OSs
10388,Products 
10388,Internet Information Server
10388,Microsoft.com Search
10389,SP Referral (ART)
10389,Products 
10389,Visual Basic Support
10389,isapi
10389,Windows95 Support
10389,Visual Basic
10389,Windows 95
10389,Windows Family of OSs
10390,Web Site Builder's Gallery
10391,Microsoft.com Search
10392,Knowledge Base
10392,Visual Basic Support
10392,Support Desktop
10393,Web Site Builder's Gallery
10393,Internet Site Construction for Developers
10394,Games
10394,Australia
10395,Windows Family of OSs
10395,Products 
10395,Windows NT Workstation
10396,Internet Site Construction for Developers
10396,Intranet Strategy
10397,Free Downloads
10397,Internet Explorer
10398,Corporate Desktop Evaluation
10398,MS Office Info
10399,Free Downloads
10399,MS Word News
10399,isapi
10400,Microsoft.com Search
10401,Windows NT Server
10401,Microsoft.com Search
10402,Free Downloads
10402,Windows 95
10402,Windows Family of OSs
10402,Products 
10403,MSHome Kids Stuff
10404,Free Downloads
10405,Product Catalog
10405,Products 
10406,Developer Network
10406,Executive Computing
10406,For Developers Only News
10407,Free Downloads
10407,Training
10407,Internet Explorer
10407,Microsoft.com Search
10408,Windows95 Support
10408,Corporate Desktop Evaluation
10408,Windows 95
10408,Windows Family of OSs
10408,Support Desktop
10408,Internet Explorer
10409,regwiz
10409,Access Development
10409,MS Office Development
